# TESS ROOT MEAN SQUARE (RMS) COMBINED DIFFERENTIAL PHOTOMETRIC PRECISION (CDPP)
# Sector: 4;  Native Cadence: 2-min;  TPS Pipeline Instance: 407
#
# TESS Science Processing Operations Center
# NASA Ames Research Center
#
# Columns:
#     ticid - TIC Identifier (Stassun et al. 2018)
#     tmag - TESS Magnitude (Stassun et al. 2018)
#     rrmscdpp00p5 - Robust RMS CDPP (ppm) at 0.5 hr
#     rrmscdpp01p0 - Robust RMS CDPP (ppm) at 1.0 hr
#     rrmscdpp01p5 - Robust RMS CDPP (ppm) at 1.5 hr
#     rrmscdpp02p0 - Robust RMS CDPP (ppm) at 2.0 hr
#     rrmscdpp02p5 - Robust RMS CDPP (ppm) at 2.5 hr
#     rrmscdpp03p0 - Robust RMS CDPP (ppm) at 3.0 hr
#     rrmscdpp03p5 - Robust RMS CDPP (ppm) at 3.5 hr
#     rrmscdpp04p5 - Robust RMS CDPP (ppm) at 4.5 hr
#     rrmscdpp05p0 - Robust RMS CDPP (ppm) at 5.0 hr
#     rrmscdpp06p0 - Robust RMS CDPP (ppm) at 6.0 hr
#     rrmscdpp07p5 - Robust RMS CDPP (ppm) at 7.5 hr
#     rrmscdpp09p0 - Robust RMS CDPP (ppm) at 9.0 hr
#     rrmscdpp10p5 - Robust RMS CDPP (ppm) at 10.5 hr
#     rrmscdpp12p5 - Robust RMS CDPP (ppm) at 12.5 hr
#     rrmscdpp15p0 - Robust RMS CDPP (ppm) at 15.0 hr
#
# Generated on 04-Apr-2025 14:44:56 (Pacific)
#
ticid, tmag,rrmscdpp00p5,rrmscdpp01p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p5,rrmscdpp15p0
1119071,8.076,153.018,148.788,160.952,172.898,179.464,185.247,190.450,193.328,193.993,193.683,195.808,197.682,200.532,201.697,201.311
1119096,10.410,360.806,263.215,221.678,198.890,183.211,170.686,160.164,143.618,137.254,127.025,116.244,108.717,103.280,98.204,94.105
1119355,8.812,156.703,111.131,90.290,78.905,72.514,67.531,63.987,59.383,57.765,55.385,52.995,51.470,50.467,49.650,49.032
1119844,13.368,2621.602,2054.267,1888.424,1810.172,1764.047,1719.401,1661.109,1516.883,1444.921,1317.005,1161.877,1042.606,955.990,877.831,817.491
1119847,10.764,444.454,337.928,301.116,282.901,272.388,267.789,265.196,263.049,263.636,266.037,271.481,276.551,282.592,293.245,307.996
1122511,8.099,139.034,110.296,96.098,86.232,80.572,75.056,70.627,63.802,61.165,56.881,52.251,48.981,46.648,44.505,42.867
1122660,9.738,288.690,230.925,201.521,182.377,174.169,164.726,157.869,147.998,143.787,136.991,128.041,120.239,113.687,106.693,99.768
1123472,8.860,176.891,130.842,112.138,101.798,93.982,88.931,84.900,78.834,76.708,73.336,70.139,68.146,66.803,65.647,64.606
1123659,10.398,376.916,286.584,246.176,220.111,207.289,195.530,186.248,172.110,166.714,158.112,148.785,141.874,136.481,130.822,125.181
1123858,9.476,231.095,168.553,143.459,128.755,118.216,110.571,104.543,95.613,92.195,87.157,82.195,78.998,76.862,74.961,73.511
1124221,11.563,664.256,487.184,411.595,365.605,331.742,310.376,293.942,270.090,261.616,247.876,233.645,223.943,217.059,210.534,204.733
1124571,9.151,200.177,144.944,122.442,109.523,99.935,93.182,87.833,79.892,76.990,72.301,67.459,64.176,61.860,59.795,58.246
1124725,10.005,323.819,244.523,206.916,185.770,167.795,157.597,150.072,139.651,135.993,130.256,124.404,120.480,117.764,115.373,113.326
1124730,9.424,250.478,184.271,159.616,141.797,129.245,120.654,114.009,104.546,100.913,95.514,89.886,85.897,82.840,79.496,75.952
1127460,8.118,130.790,100.140,87.153,79.173,75.184,71.605,68.877,65.049,63.691,61.947,60.768,60.536,60.861,61.783,63.067
1127571,9.576,231.609,166.536,140.534,124.364,114.315,106.603,100.786,92.506,89.375,84.356,78.642,74.172,70.464,66.258,61.760
1127591,10.538,398.379,298.671,251.504,223.319,207.710,193.645,183.311,168.773,162.828,153.846,143.280,134.878,127.962,120.491,112.829
1128207,10.549,382.259,272.599,230.717,204.981,192.795,181.870,174.195,163.865,159.964,153.745,146.136,140.206,136.078,133.164,132.274
1128270,9.166,212.444,173.359,162.723,162.164,166.314,173.108,180.392,193.789,200.512,215.019,235.436,245.214,251.086,259.407,272.476
1128333,12.036,985.082,740.337,628.082,555.963,504.627,466.887,437.131,393.162,376.853,350.894,323.715,304.761,290.650,276.268,262.734
1128548,10.102,302.204,226.219,193.276,170.981,156.942,145.324,136.214,122.618,117.432,109.208,100.367,93.998,89.153,84.152,79.446
1128676,12.543,1390.467,1098.273,995.044,955.099,948.086,950.050,957.632,978.458,994.097,1031.891,1098.941,1159.775,1220.394,1308.187,1404.588
1129033,9.627,303.805,257.707,248.323,241.044,242.008,241.110,240.654,239.275,237.064,238.512,244.246,250.458,257.528,267.652,278.848
1129165,9.784,261.054,186.118,157.459,140.342,130.118,121.006,113.567,102.079,97.748,90.648,82.994,77.466,73.268,69.004,65.028
1129237,11.634,2459.505,3236.978,3472.772,3766.677,3912.950,4051.688,4173.454,4417.166,4617.501,4843.421,5269.084,5686.631,6141.380,6690.613,7358.921
1129300,8.348,159.059,147.476,146.064,143.899,139.727,137.299,135.403,131.079,129.425,125.801,121.318,117.469,114.515,112.490,111.852
1129343,10.708,417.326,302.419,251.487,223.238,204.077,191.253,181.527,167.379,161.655,152.277,140.787,131.544,124.229,116.824,110.045
1129452,8.542,267.874,310.850,360.190,406.281,426.272,433.361,448.949,480.819,489.512,510.137,536.484,560.198,606.214,634.943,667.642
1129485,8.509,132.858,95.949,82.756,73.043,68.453,63.622,59.905,54.537,52.531,49.485,46.388,44.282,42.729,41.122,39.564
1129777,6.644,78.266,64.789,60.355,58.223,57.557,57.400,57.596,58.228,58.158,59.262,60.911,61.662,61.971,62.293,62.080
1130183,11.439,1728.430,1415.317,1301.656,1240.579,1218.638,1202.653,1189.991,1168.188,1156.587,1155.933,1176.195,1204.665,1239.790,1289.272,1341.034
1149120,10.228,333.887,246.071,214.658,194.125,179.389,168.434,159.201,144.495,138.727,129.816,120.538,113.887,108.739,103.240,97.811
1149409,10.870,443.001,308.540,257.693,227.651,210.485,195.328,183.550,166.365,159.849,149.719,138.976,131.452,125.952,120.623,116.025
1149450,12.619,2858.889,2190.940,1978.946,1851.592,1762.119,1705.749,1664.085,1608.852,1590.430,1577.165,1587.822,1615.162,1651.904,1709.167,1769.835
1149866,9.798,286.966,205.102,168.894,149.038,137.770,128.423,121.403,111.682,108.274,103.530,99.680,98.094,97.749,98.238,99.533
1150363,10.755,415.693,295.542,245.926,216.416,193.589,179.080,167.999,151.893,145.807,135.792,124.448,115.904,109.233,102.348,95.903
1150453,14.650,6447.658,4625.598,3857.110,3359.662,3046.019,2784.424,2577.743,2266.516,2142.573,1944.526,1723.759,1562.383,1440.767,1320.083,1211.536
1196529,8.557,179.989,163.207,165.715,171.929,178.681,185.772,192.006,197.322,198.089,201.107,208.768,215.381,221.409,229.911,239.296
4620148,10.245,352.752,276.741,244.657,227.175,218.450,212.451,208.925,206.121,205.965,207.453,211.269,215.159,219.588,227.181,236.591
4620388,9.766,264.808,191.297,158.385,142.295,135.842,127.796,121.184,110.884,107.014,100.857,94.388,89.664,85.874,81.617,77.001
4620841,8.686,151.519,117.936,103.824,97.093,92.706,90.613,89.669,89.467,90.246,91.683,93.974,95.698,97.493,100.300,103.568
4621283,8.028,124.084,94.486,80.321,72.826,69.636,66.433,64.274,61.640,60.873,59.831,58.954,58.444,58.209,58.158,58.038
4621404,9.799,258.329,187.478,156.163,137.980,128.945,119.264,111.358,99.020,94.069,85.934,76.639,69.637,64.237,58.788,53.847
4621516,9.791,264.718,185.833,153.385,135.296,126.075,117.474,110.892,101.632,98.286,93.358,88.676,85.816,83.933,82.158,80.474
4627415,10.842,439.284,323.016,275.717,250.815,236.439,226.073,217.897,205.813,201.616,195.226,189.288,185.650,183.529,182.523,182.468
4627817,10.304,337.964,248.280,210.326,189.424,173.971,164.346,157.093,146.590,142.661,135.957,127.841,121.211,115.812,110.283,105.027
4628014,13.212,3139.319,2262.411,1873.566,1619.870,1452.729,1324.107,1224.397,1080.499,1027.750,945.706,860.918,801.573,755.859,706.918,658.421
4628792,9.034,405.359,304.261,261.992,237.632,224.516,213.395,205.108,193.475,189.113,183.588,179.205,177.258,176.631,176.953,177.448
4628861,9.871,270.856,196.897,165.227,146.337,132.898,124.427,118.201,109.458,106.034,100.460,93.793,88.713,85.066,81.996,80.045
4628910,10.659,404.446,297.920,253.951,227.750,208.458,196.572,188.093,177.167,173.554,168.416,163.828,161.193,159.598,157.973,155.670
4629065,10.853,511.926,414.542,379.498,366.196,371.350,369.273,367.950,363.753,363.003,362.657,366.257,369.582,372.959,376.967,378.160
4629440,10.834,431.020,309.581,255.212,223.164,202.593,187.599,176.178,159.903,153.912,144.586,134.833,127.944,122.649,116.928,111.066
4629480,8.890,172.177,123.485,102.629,89.271,81.794,75.116,69.923,62.177,59.148,54.181,48.519,44.270,40.983,37.607,34.426
4629498,10.360,349.542,260.429,218.741,194.421,175.744,163.397,153.640,139.011,133.259,124.174,114.011,106.286,100.116,93.457,86.923
4629624,13.158,2099.025,1516.608,1294.507,1139.868,1037.393,963.995,905.894,818.066,784.826,728.842,666.292,620.515,586.444,553.663,525.534
4645155,9.006,187.909,140.708,118.105,104.220,95.202,87.687,81.740,72.958,69.702,64.800,60.081,57.228,55.507,54.353,54.156
4645276,8.226,173.787,150.874,142.370,136.821,133.054,130.373,128.327,124.886,122.865,121.468,120.875,120.370,119.616,117.485,112.928
4645450,9.630,251.616,187.906,165.889,150.788,140.508,134.505,130.282,124.859,123.128,121.231,120.282,120.063,119.848,118.784,115.573
4645470,11.792,853.610,645.890,555.553,501.355,476.680,452.277,433.941,407.965,398.157,382.715,364.884,350.590,339.110,327.132,315.259
4645498,8.912,200.438,153.044,129.314,115.819,107.395,100.618,95.474,88.395,86.091,83.052,81.398,81.828,83.351,85.997,89.319
4645641,9.106,195.456,144.159,120.690,107.500,100.100,93.427,88.153,80.468,77.775,73.899,70.696,69.170,68.407,67.707,66.809
4645762,13.853,3478.195,2656.642,2294.511,2093.641,2008.871,1929.141,1874.333,1807.763,1791.340,1773.045,1772.328,1785.538,1805.555,1838.283,1866.416
4645769,10.536,385.140,279.079,226.518,197.760,183.492,169.774,159.357,144.240,138.134,128.427,117.050,108.207,101.151,93.748,86.546
4645952,9.821,263.732,193.867,160.269,141.228,131.768,123.552,117.423,108.814,105.727,100.774,95.391,91.580,88.911,86.542,84.781
4645960,12.614,1383.387,1004.484,832.827,731.134,663.651,609.240,566.756,505.113,482.344,447.938,413.366,389.427,370.507,348.899,325.800
4646031,8.925,172.786,131.256,111.742,99.849,91.416,85.101,80.140,72.649,69.754,65.153,60.171,56.591,53.922,51.314,49.016
4646310,8.319,133.476,96.676,82.671,74.132,69.692,66.016,63.387,59.900,58.715,57.012,55.416,54.487,54.074,54.062,54.485
4646638,9.334,210.235,153.441,131.309,117.304,108.608,101.398,95.879,88.150,85.387,81.522,78.255,76.675,75.937,75.482,75.155
4646789,8.241,158.483,147.580,155.116,165.087,173.884,183.041,191.020,196.099,195.773,195.047,195.737,194.125,191.517,186.805,180.110
4646810,8.872,188.174,147.693,132.453,123.319,119.821,115.539,111.901,105.778,103.573,100.244,97.655,96.581,96.525,97.507,99.675
4647063,9.642,265.081,206.207,181.963,169.088,161.485,155.869,151.963,146.978,145.507,143.919,143.412,143.723,144.503,146.059,147.322
